Order_Date,Category,Store_ID,Revenue
2022-01-01 00:00:00.000000,Electronics,S001,191.19
2022-01-01 02:37:41.746174,Accessories,S004,90.04
2022-01-01 05:15:23.492349,Electronics,S003,62.46
2022-01-01 07:53:05.238523,Electronics,S003,460.2
2022-01-01 10:30:46.984698,Hardware,S001,471.46
2022-01-01 13:08:28.730873,Electronics,S001,373.29
2022-01-01 15:46:10.477047,Software,S001,209.97
2022-01-01 18:23:52.223222,Software,S003,117.97
2022-01-01 21:01:33.969396,Electronics,S003,250.63
2022-01-01 23:39:15.715571,Electronics,S004,150.64
2022-01-02 02:16:57.461746,Hardware,S004,186.37
2022-01-02 04:54:39.207920,Electronics,S002,400.27
2022-01-02 07:32:20.954095,Hardware,S001,391.89
2022-01-02 10:10:02.700270,Hardware,S003,358.78
2022-01-02 12:47:44.446444,Electronics,S004,357.99
2022-01-02 15:25:26.192619,Electronics,S001,141.36
2022-01-02 18:03:07.938793,Accessories,S001,190.96
2022-01-02 20:40:49.684968,Accessories,S004,359.82
2022-01-02 23:18:31.431143,Hardware,S004,167.88
2022-01-03 01:56:13.177317,Hardware,S004,179.89
2022-01-03 04:33:54.923492,Hardware,S001,489.8
2022-01-03 07:11:36.669666,Electronics,S002,384.47
2022-01-03 09:49:18.415841,Hardware,S003,219.4
2022-01-03 12:27:00.162016,Electronics,S002,195.76
2022-01-03 15:04:41.908190,Accessories,S001,237.8
2022-01-03 17:42:23.654365,Accessories,S001,389.46
2022-01-03 20:20:05.400540,Hardware,S002,436.22
2022-01-03 22:57:47.146714,Software,S004,356.59
2022-01-04 01:35:28.892889,Hardware,S002,409.45
2022-01-04 04:13:10.639063,Electronics,S002,335.02
2022-01-04 06:50:52.385238,Electronics,S002,419.73
2022-01-04 09:28:34.131413,Electronics,S003,80.75
2022-01-04 12:06:15.877587,Hardware,S001,407.07
2022-01-04 14:43:57.623762,Electronics,S003,305.12
2022-01-04 17:21:39.369936,Hardware,S003,90.6
2022-01-04 19:59:21.116111,Electronics,S001,328.8
2022-01-04 22:37:02.862286,Electronics,S001,378.2
2022-01-05 01:14:44.608460,Electronics,S002,361.27
2022-01-05 03:52:26.354635,Electronics,S004,436.49
2022-01-05 06:30:08.100810,Hardware,S001,182.31
2022-01-05 09:07:49.846984,Electronics,S003,308.61
2022-01-05 11:45:31.593159,Hardware,S001,307.41
2022-01-05 14:23:13.339333,Accessories,S004,261.67
2022-01-05 17:00:55.085508,Software,S003,287.35
2022-01-05 19:38:36.831683,Electronics,S002,186.32
2022-01-05 22:16:18.577857,Accessories,S003,393.12
2022-01-06 00:54:00.324032,Accessories,S002,97.01
2022-01-06 03:31:42.070207,Accessories,S004,193.71
2022-01-06 06:09:23.816381,Accessories,S001,470.74
2022-01-06 08:47:05.562556,Accessories,S003,55.07
2022-01-06 11:24:47.308730,Accessories,S001,121.57
2022-01-06 14:02:29.054905,Electronics,S003,394.82
2022-01-06 16:40:10.801080,Hardware,S002,460.84
2022-01-06 19:17:52.547254,Hardware,S002,447.65
2022-01-06 21:55:34.293429,Electronics,S002,365.31
2022-01-07 00:33:16.039603,Hardware,S004,263.43
2022-01-07 03:10:57.785778,Electronics,S003,84.54
2022-01-07 05:48:39.531953,Hardware,S004,367.78
2022-01-07 08:26:21.278127,Electronics,S001,181.22
2022-01-07 11:04:03.024302,Software,S004,388.84
2022-01-07 13:41:44.770477,Electronics,S003,425.07
2022-01-07 16:19:26.516651,Hardware,S003,434.46
2022-01-07 18:57:08.262826,Electronics,S002,116.43
2022-01-07 21:34:50.009000,Software,S004,323.03
2022-01-08 00:12:31.755175,Accessories,S002,203.49
2022-01-08 02:50:13.501350,Electronics,S001,62.59
2022-01-08 05:27:55.247524,Electronics,S003,208.68
2022-01-08 08:05:36.993699,Hardware,S003,391.2
2022-01-08 10:43:18.739873,Electronics,S004,187.16
2022-01-08 13:21:00.486048,Electronics,S004,284.19
2022-01-08 15:58:42.232223,Electronics,S002,202.59
2022-01-08 18:36:23.978397,Electronics,S001,470.74
2022-01-08 21:14:05.724572,Accessories,S004,282.62
2022-01-08 23:51:47.470747,Electronics,S002,421.11
2022-01-09 02:29:29.216921,Hardware,S004,419.43
2022-01-09 05:07:10.963096,Electronics,S003,334.11
2022-01-09 07:44:52.709270,Accessories,S003,114.78
2022-01-09 10:22:34.455445,Electronics,S003,248.51
2022-01-09 13:00:16.201620,Accessories,S003,331.11
2022-01-09 15:37:57.947794,Electronics,S003,230.34
2022-01-09 18:15:39.693969,Accessories,S001,249.07
2022-01-09 20:53:21.440144,Hardware,S003,248.11
2022-01-09 23:31:03.186318,Accessories,S002,490.75
2022-01-10 02:08:44.932493,Accessories,S004,107.06
2022-01-10 04:46:26.678667,Accessories,S003,324.48
2022-01-10 07:24:08.424842,Electronics,S004,173.05
2022-01-10 10:01:50.171017,Accessories,S002,82.15
2022-01-10 12:39:31.917191,Hardware,S003,384.76
2022-01-10 15:17:13.663366,Accessories,S001,283.04
2022-01-10 17:54:55.409540,Electronics,S001,306.92
2022-01-10 20:32:37.155715,Electronics,S001,404.8
2022-01-10 23:10:18.901890,Accessories,S003,218.81
2022-01-11 01:48:00.648064,Electronics,S001,56.51
2022-01-11 04:25:42.394239,Hardware,S002,401.73
2022-01-11 07:03:24.140414,Electronics,S001,340.37
2022-01-11 09:41:05.886588,Hardware,S002,302.32
2022-01-11 12:18:47.632763,Electronics,S002,476.13
2022-01-11 14:56:29.378937,Electronics,S004,485.08
2022-01-11 17:34:11.125112,Hardware,S002,157.67
2022-01-11 20:11:52.871287,Electronics,S002,333.72
2022-01-11 22:49:34.617461,Electronics,S001,408.74
2022-01-12 01:27:16.363636,Electronics,S002,411.76
2022-01-12 04:04:58.109810,Accessories,S003,331.89
2022-01-12 06:42:39.855985,Software,S001,93.63
2022-01-12 09:20:21.602160,Electronics,S003,290.89
2022-01-12 11:58:03.348334,Electronics,S002,328.92
2022-01-12 14:35:45.094509,Accessories,S003,230.26
2022-01-12 17:13:26.840684,Accessories,S003,493.32
2022-01-12 19:51:08.586858,Electronics,S003,392.72
2022-01-12 22:28:50.333033,Electronics,S004,156.53
2022-01-13 01:06:32.079207,Accessories,S002,404.69
2022-01-13 03:44:13.825382,Hardware,S004,166.49
2022-01-13 06:21:55.571557,Hardware,S002,337.48
2022-01-13 08:59:37.317731,Accessories,S004,179.42
2022-01-13 11:37:19.063906,Electronics,S002,242.12
2022-01-13 14:15:00.810081,Hardware,S003,193.79
2022-01-13 16:52:42.556255,Accessories,S002,421.18
2022-01-13 19:30:24.302430,Hardware,S003,395.77
2022-01-13 22:08:06.048604,Electronics,S004,89.1
2022-01-14 00:45:47.794779,Electronics,S003,411.98
2022-01-14 03:23:29.540954,Hardware,S004,69.54
2022-01-14 06:01:11.287128,Hardware,S002,454.74
2022-01-14 08:38:53.033303,Accessories,S002,324.97
2022-01-14 11:16:34.779477,Hardware,S003,391.23
2022-01-14 13:54:16.525652,Accessories,S003,451.22
2022-01-14 16:31:58.271827,Accessories,S003,401.67
2022-01-14 19:09:40.018001,Hardware,S004,203.42
2022-01-14 21:47:21.764176,Electronics,S002,253.62
2022-01-15 00:25:03.510351,Electronics,S003,445.54
2022-01-15 03:02:45.256525,Electronics,S002,331.06
2022-01-15 05:40:27.002700,Electronics,S002,324.02
2022-01-15 08:18:08.748874,Hardware,S004,178.88
2022-01-15 10:55:50.495049,Software,S003,216.14
2022-01-15 13:33:32.241224,Electronics,S003,312.15
2022-01-15 16:11:13.987398,Electronics,S003,164.73
2022-01-15 18:48:55.733573,Accessories,S002,100.86
2022-01-15 21:26:37.479747,Electronics,S004,91.44
2022-01-16 00:04:19.225922,Electronics,S004,338.94
2022-01-16 02:42:00.972097,Software,S001,398.93
2022-01-16 05:19:42.718271,Accessories,S002,106.43
2022-01-16 07:57:24.464446,Accessories,S003,490.45
2022-01-16 10:35:06.210621,Electronics,S002,345.84
2022-01-16 13:12:47.956795,Hardware,S001,359.61
2022-01-16 15:50:29.702970,Electronics,S001,467.87
2022-01-16 18:28:11.449144,Hardware,S004,57.4
2022-01-16 21:05:53.195319,Hardware,S002,122.38
2022-01-16 23:43:34.941494,Accessories,S002,165.94
2022-01-17 02:21:16.687668,Electronics,S003,485.27
2022-01-17 04:58:58.433843,Hardware,S002,358.6
2022-01-17 07:36:40.180018,Electronics,S002,68.17
2022-01-17 10:14:21.926192,Electronics,S003,163.2
2022-01-17 12:52:03.672367,Accessories,S004,141.56
2022-01-17 15:29:45.418541,Electronics,S001,128.23
2022-01-17 18:07:27.164716,Software,S004,361.92
2022-01-17 20:45:08.910891,Electronics,S004,456.03
2022-01-17 23:22:50.657065,Electronics,S004,281.02
2022-01-18 02:00:32.403240,Electronics,S002,108.91
2022-01-18 04:38:14.149414,Electronics,S004,499.2
2022-01-18 07:15:55.895589,Electronics,S004,63.78
2022-01-18 09:53:37.641764,Hardware,S004,291.81
2022-01-18 12:31:19.387938,Hardware,S002,230.21
2022-01-18 15:09:01.134113,Hardware,S001,247.52
2022-01-18 17:46:42.880288,Electronics,S001,458.69
2022-01-18 20:24:24.626462,Electronics,S004,141.11
2022-01-18 23:02:06.372637,Electronics,S003,227.9
2022-01-19 01:39:48.118811,Electronics,S003,272.78
2022-01-19 04:17:29.864986,Electronics,S001,423.22
2022-01-19 06:55:11.611161,Electronics,S002,485.99
2022-01-19 09:32:53.357335,Hardware,S004,233.65
2022-01-19 12:10:35.103510,Electronics,S003,360.81
2022-01-19 14:48:16.849684,Software,S002,475.2
2022-01-19 17:25:58.595859,Hardware,S004,355.54
